abn,remuneration_quartile,reporting_period,avg_total_remuneration
99000016339,Lower middle quartile,2024 - 25,"90,000.00"
99000016339,Upper quartile,2023 - 24,"91,000.00"
99000016339,Upper middle quartile,2023 - 24,"87,000.00"
99000016339,Total workforce,2023 - 24,"84,000.00"
99000016339,Lower quartile,2023 - 24,"71,000.00"
98904795645,Lower middle quartile,2024 - 25,"89,000.00"
98904795645,Upper quartile,2023 - 24,"183,000.00"
98904795645,Upper middle quartile,2024 - 25,"106,000.00"
98904795645,Total workforce,2023 - 24,"106,000.00"
98904795645,Lower quartile,2023 - 24,"63,000.00"
98831122036,Upper quartile,2023 - 24,"122,000.00"
98831122036,Upper middle quartile,2023 - 24,"88,000.00"
98831122036,Total workforce,2023 - 24,"88,000.00"
98831122036,Lower quartile,2023 - 24,"68,000.00"
98831122036,Lower middle quartile,2023 - 24,"78,000.00"
98779381137,Lower middle quartile,2024 - 25,"148,000.00"
98773882646,Lower middle quartile,2024 - 25,"124,000.00"
98773882646,Upper quartile,2023 - 24,"304,000.00"
98773882646,Upper middle quartile,2023 - 24,"175,000.00"
98773882646,Total workforce,2023 - 24,"175,000.00"
98773882646,Lower quartile,2023 - 24,"93,000.00"
98749244720,Upper quartile,2023 - 24,"172,000.00"
98749244720,Upper middle quartile,2023 - 24,"99,000.00"
98749244720,Total workforce,2023 - 24,"97,000.00"
98749244720,Lower quartile,2023 - 24,"46,000.00"
98749244720,Lower middle quartile,2023 - 24,"74,000.00"
98696304966,Lower middle quartile,2024 - 25,"112,000.00"
98696304966,Upper quartile,2023 - 24,"231,000.00"
98696304966,Upper middle quartile,2023 - 24,"148,000.00"
98696304966,Total workforce,2023 - 24,"143,000.00"
98696304966,Lower quartile,2023 - 24,"83,000.00"
98665735615,Lower middle quartile,2024 - 25,"83,000.00"
98651609161,Lower middle quartile,2024 - 25,"105,000.00"
98651609161,Upper quartile,2023 - 24,"141,000.00"
98651609161,Upper middle quartile,2024 - 25,"119,000.00"
98651609161,Total workforce,2023 - 24,"109,000.00"
98651609161,Lower quartile,2023 - 24,"81,000.00"
98650945878,Lower middle quartile,2024 - 25,"92,000.00"
98646647592,Lower middle quartile,2024 - 25,"156,000.00"
98646647592,Upper quartile,2023 - 24,"341,000.00"
98646647592,Upper middle quartile,2023 - 24,"189,000.00"
98646647592,Total workforce,2023 - 24,"191,000.00"
98646647592,Lower quartile,2023 - 24,"89,000.00"
98638076421,Lower middle quartile,2024 - 25,"40,000.00"
98634699719,Lower middle quartile,2024 - 25,"83,000.00"
98634699719,Upper quartile,2023 - 24,"94,000.00"
98634699719,Upper middle quartile,2023 - 24,"72,000.00"
98634699719,Total workforce,2023 - 24,"71,000.00"
98634699719,Lower quartile,2023 - 24,"54,000.00"
98633817991,Lower middle quartile,2024 - 25,"90,000.00"
98633817991,Upper quartile,2023 - 24,"180,000.00"
98633817991,Upper middle quartile,2024 - 25,"114,000.00"
98633817991,Total workforce,2023 - 24,"118,000.00"
98633817991,Lower quartile,2023 - 24,"74,000.00"
98627972605,Lower middle quartile,2024 - 25,"116,000.00"
98627972605,Upper quartile,2023 - 24,"133,000.00"
98627972605,Upper middle quartile,2023 - 24,"116,000.00"
98627972605,Total workforce,2023 - 24,"112,000.00"
98627972605,Lower quartile,2023 - 24,"91,000.00"
98626062155,Lower middle quartile,2024 - 25,"126,000.00"
98626062155,Upper quartile,2023 - 24,"220,000.00"
98626062155,Upper middle quartile,2023 - 24,"162,000.00"
98626062155,Total workforce,2023 - 24,"143,000.00"
98626062155,Lower quartile,2023 - 24,"79,000.00"
98625661216,Lower middle quartile,2024 - 25,"70,000.00"
98623603805,Lower middle quartile,2024 - 25,"121,000.00"
98623304094,Upper quartile,2023 - 24,"50,000.00"
98623304094,Upper middle quartile,2023 - 24,"21,000.00"
98623304094,Total workforce,2023 - 24,"20,000.00"
98623304094,Lower quartile,2023 - 24,"2,000.00"
98623304094,Lower middle quartile,2023 - 24,"8,000.00"
98612976691,Lower middle quartile,2024 - 25,"80,000.00"
98612976691,Upper quartile,2023 - 24,"156,000.00"
98612976691,Upper middle quartile,2024 - 25,"91,000.00"
98612976691,Total workforce,2023 - 24,"89,000.00"
98612976691,Lower quartile,2023 - 24,"61,000.00"
98611573749,Lower middle quartile,2024 - 25,"70,000.00"
98611573749,Upper quartile,2023 - 24,"94,000.00"
98611573749,Upper middle quartile,2023 - 24,"60,000.00"
98611573749,Total workforce,2023 - 24,"65,000.00"
98611573749,Lower quartile,2023 - 24,"53,000.00"
98610702988,Upper quartile,2023 - 24,"246,000.00"
98610702988,Upper middle quartile,2023 - 24,"104,000.00"
98610702988,Total workforce,2023 - 24,"123,000.00"
98610702988,Lower quartile,2023 - 24,"64,000.00"
98610702988,Lower middle quartile,2023 - 24,"77,000.00"
98599482966,Lower middle quartile,2024 - 25,"77,000.00"
98599482966,Upper quartile,2023 - 24,"144,000.00"
98599482966,Upper middle quartile,2023 - 24,"114,000.00"
98599482966,Total workforce,2023 - 24,"100,000.00"
98599482966,Lower quartile,2023 - 24,"59,000.00"
98591304887,Lower middle quartile,2024 - 25,"79,000.00"
98591304887,Upper quartile,2023 - 24,"111,000.00"
98591304887,Upper middle quartile,2024 - 25,"86,000.00"
98591304887,Total workforce,2023 - 24,"77,000.00"
98591304887,Lower quartile,2023 - 24,"56,000.00"
98544704858,Lower middle quartile,2024 - 25,"79,000.00"
98544704858,Upper quartile,2023 - 24,"125,000.00"
98544704858,Upper middle quartile,2024 - 25,"89,000.00"
98544704858,Total workforce,2023 - 24,"84,000.00"
98544704858,Lower quartile,2023 - 24,"60,000.00"
98537055866,Lower middle quartile,2024 - 25,"66,000.00"
98514359218,Lower middle quartile,2024 - 25,"28,000.00"
98460195198,Lower middle quartile,2024 - 25,"79,000.00"
98393517932,Lower middle quartile,2024 - 25,"126,000.00"
98393517932,Upper quartile,2023 - 24,"282,000.00"
98393517932,Upper middle quartile,2023 - 24,"166,000.00"
98393517932,Total workforce,2023 - 24,"163,000.00"
98393517932,Lower quartile,2023 - 24,"87,000.00"
98296380577,Lower middle quartile,2024 - 25,"91,000.00"
98241772591,Upper quartile,2023 - 24,"177,000.00"
98241772591,Upper middle quartile,2023 - 24,"99,000.00"
98241772591,Total workforce,2023 - 24,"106,000.00"
98241772591,Lower quartile,2023 - 24,"68,000.00"
98241772591,Lower middle quartile,2023 - 24,"79,000.00"
98227492950,Lower middle quartile,2024 - 25,"97,000.00"
98227492950,Upper quartile,2023 - 24,"146,000.00"
98227492950,Upper middle quartile,2023 - 24,"109,000.00"
98227492950,Total workforce,2023 - 24,"105,000.00"
98227492950,Lower quartile,2023 - 24,"74,000.00"
98191145037,Lower middle quartile,2024 - 25,"90,000.00"
98191145037,Upper quartile,2023 - 24,"162,000.00"
98191145037,Upper middle quartile,2024 - 25,"126,000.00"
98191145037,Total workforce,2023 - 24,"112,000.00"
98191145037,Lower quartile,2023 - 24,"69,000.00"
98172275725,Upper quartile,2023 - 24,"319,000.00"
98172275725,Upper middle quartile,2023 - 24,"180,000.00"
98172275725,Total workforce,2023 - 24,"186,000.00"
98172275725,Lower quartile,2023 - 24,"103,000.00"
98172275725,Lower middle quartile,2023 - 24,"144,000.00"
98165532669,Lower middle quartile,2024 - 25,"72,000.00"
98165532669,Upper quartile,2023 - 24,"91,000.00"
98165532669,Upper middle quartile,2023 - 24,"72,000.00"
98165532669,Total workforce,2023 - 24,"72,000.00"
98165532669,Lower quartile,2023 - 24,"59,000.00"
98164545215,Lower middle quartile,2024 - 25,"80,000.00"
98164545215,Upper quartile,2023 - 24,"139,000.00"
98164545215,Upper middle quartile,2023 - 24,"105,000.00"
98164545215,Total workforce,2023 - 24,"105,000.00"
98164545215,Lower quartile,2023 - 24,"83,000.00"
98159214605,Lower quartile,2024 - 25,"95,000.00"
98159214605,Lower middle quartile,2024 - 25,"122,000.00"
98155577343,Lower quartile,2024 - 25,"134,000.00"
98155577343,Lower middle quartile,2024 - 25,"231,000.00"
98154468890,Lower middle quartile,2024 - 25,"89,000.00"
98154468890,Upper quartile,2023 - 24,"120,000.00"
98154468890,Upper middle quartile,2023 - 24,"77,000.00"
98154468890,Total workforce,2023 - 24,"84,000.00"
98154468890,Lower quartile,2023 - 24,"66,000.00"
98153444154,Lower middle quartile,2024 - 25,"93,000.00"
98150820116,Lower middle quartile,2024 - 25,"152,000.00"
98150820116,Upper quartile,2023 - 24,"309,000.00"
98150820116,Upper middle quartile,2023 - 24,"185,000.00"
98150820116,Total workforce,2023 - 24,"179,000.00"
98150820116,Lower quartile,2023 - 24,"90,000.00"
98147969024,Lower middle quartile,2024 - 25,"72,000.00"
98147969024,Upper quartile,2023 - 24,"129,000.00"
98147969024,Upper middle quartile,2023 - 24,"81,000.00"
98147969024,Total workforce,2023 - 24,"86,000.00"
98147969024,Lower quartile,2023 - 24,"66,000.00"
98144695867,Lower middle quartile,2024 - 25,"73,000.00"
98144695867,Upper quartile,2023 - 24,"134,000.00"
98144695867,Upper middle quartile,2023 - 24,"72,000.00"
98144695867,Total workforce,2023 - 24,"83,000.00"
98144695867,Lower quartile,2023 - 24,"62,000.00"
98142986767,Lower middle quartile,2024 - 25,"102,000.00"
98142986767,Upper quartile,2023 - 24,"137,000.00"
98142986767,Upper middle quartile,2024 - 25,"117,000.00"
98142986767,Total workforce,2023 - 24,"107,000.00"
98142986767,Lower quartile,2023 - 24,"83,000.00"
98142397886,Lower quartile,2024 - 25,"66,000.00"
98142397886,Lower middle quartile,2024 - 25,"76,000.00"
98142397886,Upper quartile,2023 - 24,"147,000.00"
98142397886,Upper middle quartile,2023 - 24,"91,000.00"
98142397886,Total workforce,2023 - 24,"93,000.00"
98140810929,Lower middle quartile,2024 - 25,"96,000.00"
98140810929,Upper quartile,2023 - 24,"129,000.00"
98140810929,Upper middle quartile,2023 - 24,"108,000.00"
98140810929,Total workforce,2023 - 24,"99,000.00"
98140810929,Lower quartile,2023 - 24,"65,000.00"
98140773388,Lower quartile,2024 - 25,"91,000.00"
98140773388,Lower middle quartile,2024 - 25,"98,000.00"
98140773388,Upper quartile,2023 - 24,"165,000.00"
98140773388,Upper middle quartile,2023 - 24,"95,000.00"
98140773388,Total workforce,2023 - 24,"110,000.00"
98137816025,Lower quartile,2024 - 25,"90,000.00"
98137816025,Upper quartile,2023 - 24,"493,000.00"
98137816025,Upper middle quartile,2023 - 24,"234,000.00"
98137816025,Total workforce,2023 - 24,"258,000.00"
98137816025,Lower middle quartile,2024 - 25,"102,000.00"
98137563369,Lower middle quartile,2024 - 25,"74,000.00"
98137563369,Upper quartile,2023 - 24,"165,000.00"
98137563369,Upper middle quartile,2023 - 24,"92,000.00"
98137563369,Total workforce,2023 - 24,"98,000.00"
98137563369,Lower quartile,2023 - 24,"64,000.00"
98131909558,Lower middle quartile,2024 - 25,"116,000.00"
98131909558,Upper quartile,2023 - 24,"152,000.00"
98131909558,Upper middle quartile,2023 - 24,"127,000.00"
98131909558,Total workforce,2023 - 24,"120,000.00"
98131909558,Lower quartile,2023 - 24,"83,000.00"
98131762948,Lower middle quartile,2024 - 25,"115,000.00"
98131762948,Upper quartile,2023 - 24,"248,000.00"
98131762948,Upper middle quartile,2023 - 24,"131,000.00"
98131762948,Total workforce,2023 - 24,"144,000.00"
98131762948,Lower quartile,2023 - 24,"87,000.00"
98129885838,Lower middle quartile,2024 - 25,"134,000.00"
98129885838,Upper quartile,2023 - 24,"265,000.00"
98129885838,Upper middle quartile,2023 - 24,"157,000.00"
98129885838,Total workforce,2023 - 24,"161,000.00"
98129885838,Lower quartile,2023 - 24,"98,000.00"
98129716025,Lower middle quartile,2024 - 25,"76,000.00"
98129716025,Upper quartile,2023 - 24,"90,000.00"
98129716025,Upper middle quartile,2023 - 24,"77,000.00"
98129716025,Total workforce,2023 - 24,"74,000.00"
98129716025,Lower quartile,2023 - 24,"58,000.00"
98123756034,Lower middle quartile,2024 - 25,"248,000.00"
98123756034,Upper quartile,2023 - 24,"515,000.00"
98123756034,Upper middle quartile,2023 - 24,"403,000.00"
98123756034,Total workforce,2023 - 24,"391,000.00"
98123756034,Lower quartile,2023 - 24,"293,000.00"
98118751929,Lower middle quartile,2024 - 25,"97,000.00"
98118751929,Upper quartile,2023 - 24,"185,000.00"
98118751929,Upper middle quartile,2023 - 24,"116,000.00"
98118751929,Total workforce,2023 - 24,"113,000.00"
98118751929,Lower quartile,2023 - 24,"64,000.00"
98115022592,Lower middle quartile,2024 - 25,"87,000.00"
98115022592,Upper quartile,2023 - 24,"183,000.00"
98115022592,Upper middle quartile,2023 - 24,"100,000.00"
98115022592,Total workforce,2023 - 24,"106,000.00"
98115022592,Lower quartile,2023 - 24,"65,000.00"
98114053459,Lower middle quartile,2024 - 25,"180,000.00"
98114053459,Upper quartile,2023 - 24,"494,000.00"
98114053459,Upper middle quartile,2023 - 24,"254,000.00"
98114053459,Total workforce,2023 - 24,"257,000.00"
98114053459,Lower quartile,2023 - 24,"111,000.00"
98113561363,Lower middle quartile,2024 - 25,"76,000.00"
98113561363,Upper quartile,2023 - 24,"102,000.00"
98113561363,Upper middle quartile,2023 - 24,"82,000.00"
98113561363,Total workforce,2023 - 24,"80,000.00"
98113561363,Lower quartile,2023 - 24,"62,000.00"
98109689223,Lower middle quartile,2024 - 25,"64,000.00"
98109689223,Upper quartile,2023 - 24,"87,000.00"
98109689223,Upper middle quartile,2023 - 24,"77,000.00"
98109689223,Total workforce,2023 - 24,"75,000.00"
98109689223,Lower quartile,2023 - 24,"66,000.00"
98107180183,Lower quartile,2024 - 25,"99,000.00"
98107180183,Lower middle quartile,2024 - 25,"120,000.00"
98107180183,Upper quartile,2023 - 24,"170,000.00"
98107180183,Upper middle quartile,2023 - 24,"148,000.00"
98107180183,Total workforce,2023 - 24,"138,000.00"
98104136629,Lower middle quartile,2024 - 25,"88,000.00"
98104136629,Upper quartile,2023 - 24,"196,000.00"
98104136629,Upper middle quartile,2023 - 24,"107,000.00"
98104136629,Total workforce,2023 - 24,"111,000.00"
98104136629,Lower quartile,2023 - 24,"62,000.00"
98099078234,Lower middle quartile,2024 - 25,"111,000.00"
98099078234,Upper quartile,2023 - 24,"236,000.00"
98099078234,Upper middle quartile,2023 - 24,"136,000.00"
98099078234,Total workforce,2023 - 24,"140,000.00"
98099078234,Lower quartile,2023 - 24,"77,000.00"
98098034943,Lower middle quartile,2024 - 25,"71,000.00"
98098034943,Upper quartile,2023 - 24,"102,000.00"
98098034943,Upper middle quartile,2023 - 24,"70,000.00"
98098034943,Total workforce,2023 - 24,"74,000.00"
98098034943,Lower quartile,2023 - 24,"56,000.00"
98095313705,Lower middle quartile,2024 - 25,"104,000.00"
98095313705,Upper quartile,2023 - 24,"237,000.00"
98095313705,Upper middle quartile,2023 - 24,"132,000.00"
98095313705,Total workforce,2023 - 24,"137,000.00"
98095313705,Lower quartile,2023 - 24,"76,000.00"
98093489671,Lower quartile,2024 - 25,"102,000.00"
98093489671,Lower middle quartile,2024 - 25,"127,000.00"
98093489671,Upper quartile,2023 - 24,"208,000.00"
98093489671,Upper middle quartile,2023 - 24,"160,000.00"
98093489671,Total workforce,2023 - 24,"148,000.00"
98088327093,Lower quartile,2024 - 25,"69,000.00"
98088327093,Lower middle quartile,2024 - 25,"101,000.00"
98088327093,Upper quartile,2023 - 24,"177,000.00"
98088327093,Upper middle quartile,2023 - 24,"106,000.00"
98088327093,Total workforce,2023 - 24,"107,000.00"
98084199333,Lower quartile,2024 - 25,"40,000.00"
98084199333,Lower middle quartile,2024 - 25,"57,000.00"
98084199333,Upper quartile,2023 - 24,"112,000.00"
98084199333,Upper middle quartile,2023 - 24,"67,000.00"
98084199333,Total workforce,2023 - 24,"60,000.00"
98081776687,Lower middle quartile,2024 - 25,"90,000.00"
98081776687,Upper quartile,2023 - 24,"130,000.00"
98081776687,Upper middle quartile,2024 - 25,"96,000.00"
98081776687,Total workforce,2023 - 24,"91,000.00"
98081776687,Lower quartile,2023 - 24,"67,000.00"
98077604961,Lower middle quartile,2024 - 25,"109,000.00"
98077604961,Upper quartile,2023 - 24,"182,000.00"
98077604961,Upper middle quartile,2023 - 24,"137,000.00"
98077604961,Total workforce,2023 - 24,"128,000.00"
98077604961,Lower quartile,2023 - 24,"83,000.00"
98076868034,Lower middle quartile,2024 - 25,"82,000.00"
98076868034,Upper quartile,2023 - 24,"202,000.00"
98076868034,Upper middle quartile,2023 - 24,"109,000.00"
98076868034,Total workforce,2023 - 24,"112,000.00"
98076868034,Lower quartile,2023 - 24,"58,000.00"
98073659677,Lower middle quartile,2024 - 25,"153,000.00"
98073659677,Upper quartile,2023 - 24,"412,000.00"
98073659677,Upper middle quartile,2023 - 24,"187,000.00"
98073659677,Total workforce,2023 - 24,"205,000.00"
98073659677,Lower quartile,2023 - 24,"89,000.00"
98071903010,Lower middle quartile,2024 - 25,"176,000.00"
98071903010,Upper quartile,2023 - 24,"371,000.00"
98071903010,Upper middle quartile,2023 - 24,"225,000.00"
98071903010,Total workforce,2023 - 24,"221,000.00"
98071903010,Lower quartile,2023 - 24,"120,000.00"
31098188580,Upper middle quartile,2024 - 25,"79,000.00"
31095961005,Lower middle quartile,2024 - 25,"115,000.00"
31095961005,Upper quartile,2023 - 24,"93,000.00"
31095961005,Upper middle quartile,2024 - 25,"118,000.00"
31095961005,Total workforce,2023 - 24,"73,000.00"
31095961005,Lower quartile,2023 - 24,"63,000.00"
31095222263,Lower middle quartile,2024 - 25,"70,000.00"
31095222263,Upper quartile,2023 - 24,"101,000.00"
31095222263,Upper middle quartile,2023 - 24,"78,000.00"
31095222263,Total workforce,2023 - 24,"78,000.00"
31095222263,Lower quartile,2023 - 24,"63,000.00"
31093723838,Lower middle quartile,2024 - 25,"79,000.00"
31093723838,Upper quartile,2023 - 24,"85,000.00"
31093723838,Upper middle quartile,2024 - 25,"81,000.00"
31093723838,Total workforce,2023 - 24,"71,000.00"
31093723838,Lower quartile,2023 - 24,"65,000.00"
31093559856,Lower middle quartile,2024 - 25,"97,000.00"
31093559856,Upper quartile,2023 - 24,"249,000.00"
31093559856,Upper middle quartile,2023 - 24,"122,000.00"
31093559856,Total workforce,2023 - 24,"130,000.00"
31093559856,Lower quartile,2023 - 24,"61,000.00"
31093273851,Lower middle quartile,2024 - 25,"144,000.00"
31093273851,Upper quartile,2023 - 24,"269,000.00"
31093273851,Upper middle quartile,2023 - 24,"177,000.00"
31093273851,Total workforce,2023 - 24,"168,000.00"
31093273851,Lower quartile,2023 - 24,"90,000.00"
31092562671,Lower middle quartile,2024 - 25,"105,000.00"
