abn,remuneration_quartile,reporting_period,avg_total_remuneration
99001363828,Lower middle quartile,2024 - 25,"192,000.00"
99001363828,Upper quartile,2023 - 24,"245,000.00"
99001363828,Upper middle quartile,2023 - 24,"207,000.00"
99001363828,Total workforce,2023 - 24,"193,000.00"
99001363828,Lower quartile,2023 - 24,"134,000.00"
99001341073,Lower middle quartile,2024 - 25,"69,000.00"
99001341073,Upper quartile,2023 - 24,"66,000.00"
99001341073,Upper middle quartile,2023 - 24,"53,000.00"
99001341073,Total workforce,2023 - 24,"56,000.00"
99001341073,Lower quartile,2023 - 24,"52,000.00"
99001216397,Lower middle quartile,2024 - 25,"90,000.00"
99001216397,Upper quartile,2023 - 24,"122,000.00"
99001216397,Upper middle quartile,2024 - 25,"99,000.00"
99001216397,Total workforce,2023 - 24,"93,000.00"
99001216397,Lower quartile,2023 - 24,"72,000.00"
99001085561,Lower quartile,2024 - 25,"99,000.00"
99001085561,Lower middle quartile,2024 - 25,"140,000.00"
99001085561,Upper quartile,2023 - 24,"206,000.00"
99001085561,Upper middle quartile,2023 - 24,"160,000.00"
99001085561,Total workforce,2023 - 24,"146,000.00"
99001011392,Lower middle quartile,2024 - 25,"74,000.00"
99001011392,Upper quartile,2023 - 24,"99,000.00"
99001011392,Upper middle quartile,2023 - 24,"76,000.00"
99001011392,Total workforce,2023 - 24,"78,000.00"
99001011392,Lower quartile,2023 - 24,"64,000.00"
99000872542,Lower middle quartile,2024 - 25,"81,000.00"
99000872542,Upper quartile,2023 - 24,"170,000.00"
99000872542,Upper middle quartile,2023 - 24,"94,000.00"
99000872542,Total workforce,2023 - 24,"103,000.00"
99000872542,Lower quartile,2023 - 24,"68,000.00"
99000401025,Lower middle quartile,2024 - 25,"130,000.00"
99000401025,Upper quartile,2023 - 24,"224,000.00"
99000401025,Upper middle quartile,2023 - 24,"159,000.00"
99000401025,Total workforce,2023 - 24,"146,000.00"
99000401025,Lower quartile,2023 - 24,"83,000.00"
99000257741,Lower middle quartile,2024 - 25,"112,000.00"
99000257741,Upper quartile,2023 - 24,"176,000.00"
99000257741,Upper middle quartile,2023 - 24,"142,000.00"
99000257741,Total workforce,2023 - 24,"127,000.00"
99000257741,Lower quartile,2023 - 24,"84,000.00"
99000197428,Lower middle quartile,2024 - 25,"132,000.00"
99000197428,Upper quartile,2023 - 24,"275,000.00"
99000197428,Upper middle quartile,2023 - 24,"186,000.00"
99000197428,Total workforce,2023 - 24,"171,000.00"
99000197428,Lower quartile,2023 - 24,"92,000.00"
99000112729,Lower middle quartile,2024 - 25,"99,000.00"
99000112729,Upper quartile,2023 - 24,"145,000.00"
99000112729,Upper middle quartile,2023 - 24,"103,000.00"
99000112729,Total workforce,2023 - 24,"90,000.00"
99000112729,Lower quartile,2023 - 24,"23,000.00"
99000024439,Lower middle quartile,2024 - 25,"67,000.00"
99000024439,Upper quartile,2023 - 24,"99,000.00"
99000024439,Upper middle quartile,2023 - 24,"72,000.00"
99000024439,Total workforce,2023 - 24,"71,000.00"
99000024439,Lower quartile,2023 - 24,"49,000.00"
99000020762,Lower middle quartile,2024 - 25,"98,000.00"
99000020762,Upper quartile,2023 - 24,"182,000.00"
99000020762,Upper middle quartile,2023 - 24,"133,000.00"
99000020762,Total workforce,2023 - 24,"123,000.00"
99000020762,Lower quartile,2023 - 24,"80,000.00"
